"pm25","pm10","no2","so2","co","o3","temperature","humidity","windSpeed","aqi"
4,26.3,45.9,6.6,0.77,67.9,21.1,30,32.1,121
62.4,114.2,54.9,5.7,3.28,65.2,22.3,22,32.9,124
22.3,41.4,82.4,3.7,2.55,108.8,31.5,56,10.7,191
130.6,227.4,9.5,5.8,4.5,43.3,12.3,71,29.2,186
63.1,114.9,8.9,3.4,1.68,111.4,38.5,66,22.8,208
15,34.4,37,4.4,1.54,130.8,41.7,97,18.6,244
69.1,124.8,47.5,18.6,2.52,115.8,36.9,68,26,215
201.1,365.7,102.6,4.9,7.19,101.6,25.1,36,5.6,302
59.4,118.6,25.1,10.2,1.86,53.4,15.2,83,23.3,97
85.4,119.3,21.5,16.6,3.38,97.6,31.7,80,25,184
51.3,70.8,3,3,1.85,133.5,42.6,84,16.6,245
105.5,135.1,10,23.6,3.19,122,44.2,60,25.4,232
60.3,109.7,12.9,0.5,1.64,20.6,7.1,11,32.8,81
76.5,117.3,15.1,1,1.96,75.3,20.3,52,9.7,124
74.3,143.2,23.7,6.4,2.9,118.4,37.2,96,16.7,224
63.4,113.2,18.5,6.5,2.48,76.5,26.9,79,33,142
43.1,75.2,17.2,12.3,1.72,55,17.2,71,34.3,96
160.3,219.5,34.9,19.7,4.01,86.5,21.1,85,5,243
106.7,156,51.2,0.8,3.93,28.4,6.1,36,17.1,150
7,26.6,42.9,0.3,1.25,115.9,39,38,20.1,224
22.9,46.3,15.1,8.4,0.95,24.4,6.2,22,31.7,42
80.2,109.1,87.8,50.4,4.24,127.5,31.1,64,5.7,244
34.2,59.3,29.6,16.4,1.78,85.4,28.9,84,34.6,164
28.8,65.4,22.4,7.9,1.5,46,17.5,80,33.2,87
35.9,46.3,19.8,0.2,1.81,179.6,44.5,67,3.8,331
11.9,31.4,44,8.1,1,120.7,38.2,20,18.5,211
196.3,238.8,55.1,0.2,6.58,101.2,29.3,87,14.3,316
61.4,130,4.6,12.8,1.78,31.5,10.5,93,31.8,112
77.2,152.3,31.1,1.8,3.24,135,39.8,53,16.2,264
24.3,58.7,71.3,6.7,1.71,75.4,28.1,26,29.4,146
103.8,192.1,74.6,40.3,4.68,102.3,37,46,26.1,187
80.3,128,12.1,8.1,3.21,14.6,6.1,98,28.6,116
5.1,16.9,36.5,25.4,0.76,54.7,15.3,99,14.2,122
29.2,58.9,19,16.9,0.93,101,35.3,58,24.3,188
65.5,77.7,105.5,79.3,4.48,199,38.2,12,1.1,362
61.8,114.8,10.6,1.9,2.43,80.6,25.9,35,29.3,139
38.7,48.6,34,9.4,2.32,161.8,30.5,69,1.2,284
44,67.6,33.2,9.2,2.12,96.9,24.5,94,8.1,182
46.6,74.9,42.4,15.4,2.76,77.3,28.3,68,31.8,144
13.2,26,60.3,7.2,1.91,29,9,59,21.8,133
11.4,20.6,98,0.2,1.88,114.5,38.7,70,13.9,220
72.9,130.2,59.7,12.3,3.58,66,21.1,96,15.8,133
40.5,64.3,15.5,36.7,1.26,180.1,35.9,74,2.3,335
68.9,114.2,35.5,2.2,3.28,128.2,43.1,41,34.1,237
20.2,34.3,35.6,20.3,1.22,50.6,15.6,45,15.7,100
16.6,35.4,47.6,22.2,1.4,114.3,38.2,37,33.6,204
62.6,85.1,21.8,8.6,1.74,82.5,31.1,89,31.2,159
17.6,35.9,43.2,3.1,1.12,111.5,36.9,47,22.8,214
17.7,40.1,38.1,5.8,1.68,43.6,12.4,11,34,79
59.3,101,73.5,4.5,2.31,116.9,35.2,17,22,206
75.8,127,22.5,5.4,2.57,117.3,34.4,29,12.3,232
40.1,74.8,16.3,6.1,1.93,117.7,35.1,70,12.8,224
69.3,92.5,13.7,23.7,2.7,57.8,18.3,51,14.5,108
36.7,66,17.1,20.1,1.79,33.4,7.3,49,27.7,88
35.3,71.6,12.8,3,0.94,153.5,32,61,2.3,297
21.8,48.1,32.5,1.8,0.94,22.7,6.7,14,26.5,58
60.1,100.6,45,11.7,2.03,91.9,30.7,69,24,176
67.4,97.2,119.7,25.4,5.37,62.3,17,73,6.8,261
43.3,68.7,19.4,1.9,1.8,77.2,20.7,76,9.9,134
15.9,35.9,48.9,20,1.27,131.2,41.9,60,18.5,230
2.9,20.7,10.3,2.2,0.28,95.7,32.2,16,24,169
23.3,42.7,120,3.2,3.47,89.1,33.7,62,34.4,261
23.1,48.6,23,8.1,1.37,101.1,33.7,55,26.8,192
18,41.3,70,3.6,1.71,46.3,14.1,51,20.3,133
67.2,113.6,10.5,15.8,2.45,67.8,21.4,73,29.9,124
138.3,187.7,34.1,18.4,6.12,111.4,27.8,47,7.4,228
4.6,11.5,25.9,2.2,0.64,137.6,40.2,92,10.2,258
20.7,58,5.8,2.8,0.92,93,28.8,31,29.2,163
28.1,57.1,44.9,1.1,1.76,117.9,41.7,51,24.6,241
132.9,192.7,26.4,18.1,5.52,73.6,19.1,81,9.2,205
5.8,12.3,21.6,16.8,0.74,70.4,15.2,95,2.5,129
237.1,361.8,117.1,5.8,8.47,137.2,33.6,80,5.8,368
9,26.8,28.4,5.7,0.96,50.6,13.7,45,8.4,71
6.8,19.7,26.7,1.5,0.68,69.5,22.7,87,17.3,120
3.7,11.5,69.4,5.2,1.17,117.6,32.8,53,7.7,228
33.2,66.8,62.8,7.6,2.34,94.7,31.9,23,25.5,167
280,400,120,80,9.91,71.6,12.2,61,1.3,428
44.6,75.3,65.6,18.8,2.34,118.2,34.3,24,13.8,222
52.7,84.3,33.9,2.9,2.01,49.3,18.1,38,18.5,88
280,343.2,33.5,2.9,7.02,102.1,19.1,81,1.1,425
39.7,66.9,21.2,4,1.8,113.9,36.6,79,20.8,217
138.6,226,65.6,8.6,5.22,71.3,19.6,86,6.4,209
51.2,91.9,11.2,5.6,1.66,59.5,16.3,18,13.2,97
18.4,41,27,7.3,0.86,60,15.4,39,23,111
108.9,211.7,30.8,3.9,4.76,31.9,6.1,55,27.4,149
13.4,27.7,17.5,10.5,0.81,103.6,31.3,27,20.2,197
155,189.7,15.5,16.7,4.16,132.4,34.9,36,8.9,244
126.5,216.8,120,6,5.53,136.2,30.2,66,4.1,275
7,19.4,31.7,20.6,0.93,25.2,7.2,36,3.9,82
96.5,169.2,48.3,11.2,3.57,95.3,26.1,20,11.4,178
50.3,76.3,75.9,2,3.32,27.2,8.5,89,23.7,174
164.1,214.1,59,12.3,4.45,90.2,15.8,72,1,256
101.9,128.3,73.4,10.4,4.51,35.4,5.1,87,8.1,159
12.9,43.4,15.7,15.2,0.89,91.9,33.3,96,32.7,178
28.8,58.2,40.4,5.1,1.72,103.7,36.9,95,32.5,197
12.9,29.4,37.7,2.9,1.1,33.8,10.4,12,26,69
11.7,28.8,46,15.9,1.08,101.4,29,46,12.3,193
38.2,79.2,47.7,1,1.96,65.6,19.4,34,18.5,108
29.4,48.4,23.7,3.3,1.21,98.2,32.1,56,26.3,172
71.7,109.9,17.7,0.9,3.08,61.2,19.6,79,22.1,106
24.1,52.8,3.4,23.1,0.59,112.9,37,15,22.3,196
76.8,116.5,26.1,18,2.25,159,44.5,94,8.4,299
70,125.2,75.5,4.3,2.72,84.3,24.3,41,8.4,155
20.4,34.2,4.4,8.9,0.59,31,8.1,47,14.2,46
22.8,51.3,19,9.1,1.12,35,10.4,97,33,68
29.3,58.9,28.3,5.8,1.68,121.4,40.8,58,33.7,225
16.3,42.6,3.7,5,0.5,105.1,33.5,40,26.2,190
135.9,186,35.9,2.2,5.64,115.4,40,67,25.9,230
47.4,93.1,6.1,1.1,1.57,126.4,41.2,21,19.2,231
143.5,229.8,78.6,54.1,4.27,130.1,24.1,91,1.1,240
49.6,90.4,79.1,1.2,2.33,31.1,7.7,57,21.7,161
86.2,154.4,19.9,6.6,3.06,96.1,33.8,83,29.5,178
62.6,113.1,10.8,3.8,2.62,51,15.9,90,26.6,93
47.3,90.8,70.3,7.9,2.94,53.9,18.1,44,16.4,147
15.7,34.6,4.9,3.8,0.56,61.6,20.4,15,19.2,130
196.2,323,34.4,28.3,6.85,62,18.2,41,19.3,290
125.5,184.5,120,16.8,7.02,56.7,8.9,46,1,251
84.1,129.3,35.3,8.2,3.92,96.6,28.2,65,13.1,167
68.3,118.8,22.5,6.4,2.99,114.6,35.2,71,21.8,219
33.1,62.3,65.3,15.2,1.72,70.6,25.7,29,29.2,146
73.6,110.1,8.3,3.8,2.52,59.6,16,98,13.1,108
88.7,163.5,38.1,6.1,3.11,74.4,22.8,12,15,120
20.1,33.8,11.3,12.5,0.78,125.6,40.8,34,20.5,240
50.3,90.9,54.4,0.2,1.95,128.3,41.9,37,21,229
18.7,35.7,4.8,0.9,0.67,78.8,25.9,94,25.5,146
102.6,158.8,42,4.9,3.73,114.3,35.6,65,14.4,219
21.3,41,36.7,10.6,1.21,93.5,35.7,40,32.3,184
34.5,76.7,23.8,0.9,1.17,108.6,38.5,60,33.7,201
